target,BCAA_biosynthesis,BCAA_transport,Cellulose_binding,Fatty_acid_utilization,Fatty_acid_utilization_acyl,Glycan_utilization,LPS_biosynthesis,LPS_transport,Phenylalanine_biosynthesis,PTS,Purine_Metabolism,Secretion_System_typeII,Secretion_System_typeIII,Secretion_System_typeIV
control,0.02285947248491202,0.08254162389615684,0,0.007498489381993433,0,0.4818398235306965,0.002992115666018739,2.9120347114537606e-5,0.03012499908998915,0.36347289259687976,0,0.008328419274757755,0,3.1304373148127924e-4
hyper,0.057600197224765795,0.04994012819609777,3.874057899556244e-4,9.15686412622385e-4,0,0.4297738958934986,0.012661125589913362,1.7609354088892018e-4,0.07311403817707966,0.3731950412058886,0,0.0014967950975558217,0,7.395928717334648e-4
control,0.04412378510524119,0.060898773676783334,0,0.014052034265497983,0,0.2281815832886133,0.012471925744837319,0.0012521614692027905,0.05935841631387514,0.5638204837715899,9.937789438117385e-6,0.01466817721066126,0,0.0011627213642597342
control,0.04172872835598585,0.08005957922174642,0.001687302178365295,3.6073356916775277e-4,0,0.24968581269782164,0.01253258238689257,3.490970024204059e-5,0.05720536212995718,0.5554482405511078,0,7.912865388195867e-4,0,4.654626698938745e-4
hyper,0.04954360181411103,0.04816579596991791,0.002104981150850604,1.9136192280460034e-4,0,0.4544271580840844,0.010888493407581759,3.827238456092007e-5,0.07440151558642862,0.35979868725720954,0,1.9136192280460034e-4,0,2.4877049964598045e-4
control,0.019277505457840755,0.009535774601474646,0,1.750628166577419e-4,0,0.7787617909955925,0.00195658442146888,3.089343823371916e-5,0.0994356798615974,0.09058985871400914,0,6.178687646743832e-5,0,1.750628166577419e-4
hyper,0.0516091725546179,0.059740869910912736,1.6263394712589675e-4,0.002023889119788937,0,0.44581578994922205,0.011528939807369125,3.6140877139088164e-4,0.10076076546377781,0.3248342037261244,0,0.002837058855418421,0,3.252678942517935e-4
control,0.04771898669464961,0.06432040467637998,0.00242160067804819,2.1525339360428355e-4,0,0.3180099823761284,0.0047086679850937025,2.6906674200535443e-5,0.07432968747897917,0.48757584318790276,5.3813348401070886e-5,5.112268098101734e-4,0,1.0762669680214177e-4
control,0.05526236103300601,0.027771769693299305,0.0011030843102478695,0.003958126054418826,0,0.5774970800709435,0.012696284119911753,4.542111865726522e-4,0.06406540641086646,0.2516762555694943,0,0.0052126140935242465,0,3.0280745771510143e-4
hyper,0.043275761692218126,0.020454104405200853,1.8112426418267675e-4,3.36373633482114e-4,0,0.7324018371175367,0.004760980658516075,3.88123423248593e-5,0.09435280419173298,0.10361601655993273,0,5.304353451064105e-4,0,5.174978976647907e-5
hyper,0.053471310031076795,0.05460064716624483,2.5630346330054787e-4,0.003203793291256848,8.009483228142121e-6,0.13896453400826578,0.014633325857815654,4.2450261109153235e-4,0.04301893441835133,0.6874539454714382,0,0.0034921346874699642,0,4.725595104603851e-4
hyper,0.026834418440964278,0.05258372925098246,0,0.005542847087805737,0,0.449777113027157,0.012317437972901637,4.8389934893542145e-4,0.07581089799988269,0.3672356149920816,0,0.006598627485483019,0,0.0028154143938060885
