target,Prevotella,Faecalibacterium,Klebsiella,Roseburia,Bifidobacterium,Enterobacter,Clostridium,Oscillibacter,Azospirillum,Akkermansia,Ruminococcus,Subdoligranulum,Bilophila,Blautia,Lachnoclostridium,Actinomyces,Desulfovibrio,Coprococcus,Butyricicoccus,Anaerotruncus,Streptococcus,Eggerthella,Acidaminococcus,Butyrivibrio,Flavonifractor,Pyramidobacter,Veillonella,Acidiphilium,Dorea,Ruminiclostridium,Intestinimonas,Peptoclostridium,Coprobacillus,Porphyromonas,Pseudoflavonifractor,Paenibacillus,Holdemania,Tyzzerella,Marvinbryantia,Enterococcus,Oribacterium,Treponema,Robinsoniella
hyper,0.452701368,0.078766544,1.33e-5,0.005291684,0.00770189,5.02e-6,0.00675193,0.016755564,1.44e-5,7.73e-6,0.007372274,0.011736986,0.006857228,0.001774955,0.00166411,2.2317e-4,4.93154e-4,0.002066579,5.69926e-4,5.49776e-4,7.1e-5,2.58409e-4,2.78407e-4,2.8089e-4,2.39569e-4,5.79e-5,3.31849e-4,1.13e-5,3.58935e-4,6.03855e-4,2.44282e-4,3.0894e-4,3.48e-5,3.77378e-4,3.45195e-4,7.62147e-4,1.55821e-4,1.05574e-4,1.01823e-4,4.87e-5,1.21541e-4,9.32e-5,7.65e-5
control,0.00141909,0.143365613,8.42584e-4,0.082993863,0.004444365,0.003752611,0.08834361,0.014723373,8.7e-6,5.40235e-4,0.005812482,0.006665938,6.92e-5,0.005660813,0.008736848,9.52e-5,1.74945e-4,0.001333195,0.001350517,0.001699471,2.01625e-4,2.16635e-4,1.70536e-4,0.001533099,6.24873e-4,4.46e-5,6.39223e-4,4.78e-5,0.001395188,9.70876e-4,7.05775e-4,0.002053736,1.14449e-4,2.80403e-4,7.18057e-4,2.83405e-4,4.42283e-4,9.07095e-4,7.05935e-4,2.70392e-4,4.84543e-4,2.2264e-4,2.02504e-4
hyper,0.445877193,0.016272987,1.78336e-4,0.020785865,1.27811e-4,0.001324396,0.032454025,0.009184376,6.75e-7,2.22e-6,0.008202277,8.71461e-4,8.67276e-4,0.002230809,0.004749888,1.81e-5,6.62e-5,0.001141636,1.9519e-4,3.83578e-4,1.09148e-4,6.1e-5,1.11187e-4,8.18682e-4,1.3202e-4,3.19e-5,2.1655e-4,1.06e-5,0.001109951,5.72278e-4,1.83836e-4,4.58917e-4,1.22742e-4,2.37187e-4,1.75838e-4,2.49113e-4,1.58486e-4,2.07761e-4,1.5452e-4,1.86281e-4,1.88634e-4,9.3e-5,1.0797e-4
control,0.532295168,0.036869285,2.67e-5,0.003190602,5.5585e-4,3.59e-5,0.016222018,0.019911278,1.2e-5,3.21e-5,0.007696327,0.002884614,0.004277284,6.24614e-4,0.001894562,2.9e-5,0.001864711,0.001036257,1.94449e-4,0.001238912,1.222e-4,1.39445e-4,5.59575e-4,3.33659e-4,3.1832e-4,7.61485e-4,9.71e-5,2.10087e-4,3.64227e-4,9.66094e-4,4.80362e-4,3.55592e-4,4.27e-5,1.28816e-4,5.58994e-4,3.41811e-4,3.24907e-4,1.42391e-4,1.57086e-4,5.62e-5,2.12551e-4,1.89638e-4,1.66288e-4
control,0.657344578,0.030980375,7.64726e-4,0.00669898,4.72763e-4,1.85e-5,0.007483923,1.74446e-4,1.09e-7,1.88e-7,6.11825e-4,4.24117e-4,1.04e-5,0.003073258,0.002216291,9.28139e-4,5.51e-7,2.20203e-4,1.43354e-4,6.58e-5,0.017749837,4.19e-5,1.49e-5,1.0595e-4,2.16e-5,1.83e-5,7.12e-5,6.14e-8,3.97486e-4,9.3e-5,2.18e-5,3.02921e-4,1.49e-5,1.0225e-4,3.5e-5,3.55e-5,1.5e-5,7.54e-5,4.69e-5,5.7e-5,5.83e-5,1.54e-5,2.72e-5
hyper,0.256796325,0.259995418,0.008991881,0.014434211,5.26639e-4,0.035046516,0.011334051,0.00582718,4.33e-5,1.13e-5,0.008160957,0.005429964,6.3052e-4,0.002018279,0.003016321,2.60624e-4,2.71e-5,6.64955e-4,4.75798e-4,7.89941e-4,1.86574e-4,4.17479e-4,4.68e-5,3.52405e-4,2.16725e-4,2.77e-5,2.0297e-4,5.06e-6,7.33038e-4,6.07832e-4,2.86858e-4,5.65336e-4,7.89e-5,7.43598e-4,3.06959e-4,1.07654e-4,3.6165e-4,2.32126e-4,2.05138e-4,1.21321e-4,1.61092e-4,1.0669e-4,1.50388e-4
control,0.003457877,0.072023173,9.45e-5,0.0014243770000000001,7.94e-5,3.99e-5,0.019194688,4.58389e-4,8.57e-6,2.09e-7,7.69151e-4,9.94905e-4,0.001116523,0.001325739,0.00308021,6.73e-5,1.99e-5,1.31015e-4,3.39419e-4,2.08745e-4,2.93e-5,5.57e-5,6.86e-5,6.07e-5,5.52577e-4,3.89e-5,2.0914e-4,6.5e-7,2.35672e-4,9.54e-5,8.4e-5,2.23639e-4,9.86e-6,2.00301e-4,1.00632e-4,4.92e-5,2.6e-5,1.92178e-4,6.89e-5,2.76e-5,2.32029e-4,2.18e-5,2.62e-5
hyper,0.37447945,0.056644966,9.83e-5,0.00450994,0.035963603,1.22e-5,0.007579508,0.009171432,2.38e-6,1.19e-6,0.006570949,0.009721468,0.001189092,0.003100752,0.002350327,1.18533e-4,1.77e-5,1.90931e-4,2.13364e-4,2.47694e-4,9.51e-5,1.41616e-4,0.004463214,2.40859e-4,2.46447e-4,7.8e-5,9.08492e-4,5.16e-6,4.02659e-4,4.45087e-4,2.27961e-4,1.80452e-4,2.76e-5,1.19063e-4,2.01187e-4,3.57728e-4,6.51e-5,7.1e-5,1.61377e-4,7.63e-5,1.1878e-4,7.3e-5,1.03306e-4
control,0.307417468,0.03537483,0.098323669,0.007342482,1.2335e-4,1.67872e-4,0.008312576,0.015802287,3.64e-6,0.002421934,0.003263871,0.002186165,0.013983627,7.24711e-4,0.001426129,2.25e-5,1.44535e-4,1.9774e-4,3.11243e-4,6.25846e-4,4.57e-5,7.27e-5,0.001866399,2.8343e-4,2.82612e-4,6.77e-5,1.03192e-4,8.42e-6,2.55708e-4,4.71536e-4,3.41434e-4,2.33322e-4,5.76e-5,1.25621e-4,2.69174e-4,1.63352e-4,1.11035e-4,7.31e-5,6.11e-5,8.6700000000000007e-05,1.00722e-4,6.16e-5,6.78e-5
hyper,0.425390944,0.080774277,7.86e-5,0.005786976,0.005026775,3.37e-6,0.0160954,0.003350842,4.91e-7,3.52e-7,7.63755e-4,0.002935531,5.31971e-4,0.001029187,0.001737725,1.26772e-4,2.56327e-4,1.68172e-4,3.90302e-4,4.89131e-4,7.07e-5,7.38e-5,7.84e-5,1.42173e-4,6.54024e-4,1.48e-5,2.25e-5,9.81e-7,2.68853e-4,2.9416e-4,2.20965e-4,1.94893e-4,2.89e-5,4.37005e-4,1.76177e-4,5.05e-5,7.86e-5,7.52e-5,1.11393e-4,4.2e-5,1.33362e-4,1.01787e-4,3.26e-5
